Respondent Id,Q1,Q2,Q3,Q4,Q5,Q6,Q8A,Q8B,Q8C,Q8D,Q8E,Q9A,Q9B,Q9C,Q9D,Q9E,Q9F,Q9G,Q9H,Q11A,Q11B,Q11C,Q11D,Q11E,Q11F,Q11G,Q13,Q14,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27A,Q27B,Q27C,Q27D,Q27E,Q27F,Q27G,Q27H,Q27I,Q27J,Q28A,Q28B,Q28C,Q28D,Q28E,Q28F,Q28G,Q28H,Q28I,Q28J,Q29,Q30,Q31
1,2,5,3,5,2,5,2,3,4,1,5,7,5,4,3,2,1,8,10,7,1,4,5,2,3,6,0,0,1,1,5,4,3,1,5,4,1,3,1,1,1,1,1,5,5,5,5,5,1,1,1,3,3,5,5,5,3,3,2,3,1
2,0,4,4,5,2,4,1,,,,,1,1,1,,,1,1,1,,1,,1,1,,,1,2,1,5,3,5,5,4,2,5,3,2.5,1,2,3,4,4,4,5,4,5,5,1,1,3,4,5,5,5,3,4,5,2,2,1
3,1,3,3,2,-1,3,1,2,2,4,5,2,1,2,2,4,3,3,3,2,2,1,1,2,3,5,0,-1,1,4,3,5,5,2,4,5,2,2,,,2,2,3,3,5,4,4,4,1,3,3,3,2,3,4,2,4,3,2,3,1
4,2,3,3,5,2,5,1,2,3,4,5,1,2,4,3,5,6,7,8,1,2,4,3,5,6,7,1,1,4,4,4,4,4,3,4,4,2,3,3,3,4,4,5,4,4,4,4,3,2,2,5,5,5,4,4,4,3,3,2,1,2
5,2,5,5,5,2,4,2,1,3,5,4,3,2,6,7,5,1,8,4,7,5,2,1,4,3,6,2,1,1,5,5,5,4,5,1,5,5,7,2,2,3,3,3,5,5,4,3,5,1,1,3,3,5,5,5,1,3,4,2,1,2
6,2,4,3,5,2,4,1,5,3,2,4,1,2,4,4,4,2,2,2,3,3,4,1,2,2,3,1,1,2,4,4,4,3,2,4,3,3,4,2,2,2,3,4,5,4,3,3,4,1,1,3,3,4,5,4,4,3,3,2,1,2
7,2,4,4,4,2,4,2,3,1,5,4,1,7,2,8,3,5,4,6,3,1,4,5,7,2,6,0,0,1,4,3,5,5,5,1,5,3,5,2,2,2,2,3,4,4,4,4,4,1,1,2,3,3,4,4,4,4,4,2,2,1
8,,,,,,,2,4,5,1,3,1,3,4,5,6,2,7,8,3,4,7,6,5,1,2,1,1,4,5,5,5,5,5,5,5,5,6,5,5,4,4,3,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,2,2,2
9,-1,2,3,3,-1,3,1,3,2,4,5,1,2,5,6,7,3,8,4,6,5,1,2,4,3,7,1,0,1,5,5,5,5,4,2,4,2,2,1,1,1,1,2,5,3,4,4,3,1,1,1,3,4,5,2,2,2,3,2,1,2
10,2,5,5,5,2,5,1,,,,,1,,,,,,,,,3,,,2,1,,2,2,5,5,5,5,5,5,5,5,5,7,,,,,,,,,,,,,,,,,,,,,,,
11,2,5,5,5,2,5,1,3,2,4,5,1,3,4,6,5,2,7,8,3,2,1,7,6,4,5,2,2,5,5,5,5,5,3,4,5,5,7,5,5,5,4,3,5,5,4,5,4,,,,,,,,,,,,,
12,1,4,4,4,1,4,1,1,,,,1,,,,,,,,,1,,,,,,1,1,2,4,5,5,4,3,2,5,3,6,2,2,3,5,4,4,4,4,4,5,2,2,4,5,4,4,3,4,4,3,2,2,3
13,2,3,4,5,2,5,2,4,1,3,5,6,5,7,4,8,3,2,1,7,6,2,1,3,5,4,2,2,1,5,5,5,4,5,2,5,2,3,1,2,3,5,5,5,5,4,5,5,1,1,3,5,5,5,5,5,5,5,2,1,1
14,0,3,4,4,1,4,1,3,2,5,4,1,2,4,8,3,7,5,6,6,2,1,4,7,5,3,1,0,1,3,4,5,4,3,3,4,5,2,,,2,2,3,5,5,4,5,5,,,5,5,2,5,5,4,2,3,2,2,4
15,2,5,5,5,2,5,1,2,3,4,5,1,2,4,3,6,5,7,8,4,5,7,1,3,2,6,2,1,1,4,5,5,5,2,5,4,4,2,1,1,5,5,4,5,5,5,3,1,1,1,5,3,5,5,5,5,4,1,2,2,4
