Respondent Id,Q7,Q10,Q12,Q15,Q16,Extra remarks
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,Not really,"Good, I like how we have in-class activities",Don't really like the challenges,Less assignments to better help control,No,
6,,It was properly done,,An overall better system than regular grading. Providing competition and learning as a singular opportunity made the XP worth while,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,Amazing,,,Funa dn its nice to be engaged in the class,It is different and positive experience,
13,Love it,,Love how there are mini tests and not exams,,Wish more courses were like this,
14,,,,,,
15,,,,I am flighthing to get one,,
16,,,,,,
17,,,,,,
18,,,Great for individuals who don't test well,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,It helped me understand more,,,It's a good way to track my score in comparison to others,It was fun,
23,"I didn't mind the gamification, however I do prefer a traditional style class",It was good,,I just like to know my grades,,
24,,Sometimes lectures were too hard to follow and couldn't gather all the information needed for curates and assignments,Quizzes seemed to be nothing similar to what we learned in the course. I didn't do great on any of the quizzes,,,
25,,,,,,
26,The narrative if not the issue I was harsh on it originally which is why I changed it to a 4,Everything feels too rushed I do not retain enough info,"I don't have correct notes to do them, I need to take my own notes not curate fill in the blanks",I didn't care for the rewards. I heard no tests and went into auto pilot not realizing all these little assignments everywhere would be a nuissance,Do multiple levels at a time then tie them together to minimize amount of assignments I time ,
27,,,,,The fact that you have the class recorded on Youtube ready to watch it at anytime is Amazing,
28,Can it be something less fringe and more realistic?,Some games were distracting and confusing,Too many small assignments spread out in various levels it was hard to track. I always felt behind,Didn't like coins. XP is ok but grages posted like other classes are better,Lectures were great. Well planned and executed. Notes were overwhelming. I have my own style. I don't like loose leaf papers,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,"I didn't entirely like the no exams, I use them to benchmark my progress.",,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,It si very useful to me when we have games in classroom to play. I understand better,,,,I think this course helped me a lot because I have lots of challenges to do and the challenges were all related to real world,
38,,,,,,
39,Would be more likely to be successful if done in conjunction with the rest of western Canada,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,Games often took too long to set up and needed lots of explanation. They were hard to understand what was going on as it was very chaotic,
44,,,,,,
45,,Curate sheets help keep the focus on the information,Like the variety of the challenges enjoy that they all aren't essays. Enjoy the open book quizzes. The mix of optional group work and individual assignments,Should be able to collect coins and use all at once or should be able to use coins to transfer to XP. Every 3 coins equals 1 XP (like seven wonders),My favourite course this summer,
46,,,,Too many points have been left until the end of the class schedule. It was stressful wondering how to pass the course when so few points were available early on,Having assignments marked faster would make earning XP points more enjoyable and push the gamified structure be more fun to follow,
47,,,,,To much XP due at the end of the course. Would have been more enjoyable if it was more spread out,
48,,,,,,
49,,Too much work towards the end,I like the assignment style,,I feel like my work has been stolen a few times if not more,
50,,,,,"It's an Ok idea, but I felt it wasn't delivered properly. I never knew what I needed to improve on with my assignments to get a better work. I rarely paid attention in class because I didn't have to work the curates. Also, I Felt we should have done more in class problems individually so we could actually practice/ learn how to do the problems","I felt I never learned anything because we never reviewwed quizzez or assignments, never really had to chance to voice questions about the quizzes and assignments and therefore never increased our understnading."
51,"We didn't touch on this much, or as much as we could have",The monopoly game and shopping games were a complete waste of time. The class size is too big for activities like these to take placce,Too much inconsitency in marking and it took too long to get our grades back,All that the competitive nature did was make people chest. There was no benefit to me as a student trying to compete with my fellow students for events,This delivery was a complete joke. I did not learn as much about macro as I would have liked to . I attended every class and completed every assignment but my grade is not reflecting this.,
52,,,,,,
53,No comments,More time working on assignments,No comments,Hard to track,Hard to know where you sit,
